tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
4102,2013-06-30 20:35:59,2013-06-30 21:44:21,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,447.0,8 Ave & W 52 St,40.76370739,-73.9851615,15500,Customer,,0
1760,2013-06-30 20:35:41,2013-06-30 21:05:01,315,South St & Gouverneur Ln,40.70355377,-74.00670227,174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,17588,Customer,,0
1006,2013-06-30 20:36:03,2013-06-30 20:52:49,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,18910,Customer,,0
713,2013-06-30 20:35:56,2013-06-30 20:47:49,334,W 20 St & 7 Ave,40.74238787,-73.99726235,442.0,W 27 St & 7 Ave,40.746647,-73.993915,19971,Customer,,0
405,2013-06-30 20:36:14,2013-06-30 20:42:59,439,E 4 St & 2 Ave,40.7262807,-73.98978041,294.0,Washington Square E,40.73049393,-73.9957214,14539,Customer,,0
3342,2013-06-30 20:36:10,2013-06-30 21:31:52,2022,E 60 St & York Ave,40.759107,-73.959223,460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,18142,Customer,,0
1292,2013-06-30 20:36:14,2013-06-30 20:57:46,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,444.0,Broadway & W 24 St,40.7423543,-73.98915076,15978,Customer,,0
2272,2013-06-30 20:36:20,2013-06-30 21:14:12,127,Barrow St & Hudson St,40.73172428,-74.00674436,530.0,11 Ave & W 59 St,40.771522,-73.990541,16580,Customer,,0
1003,2013-06-30 20:36:16,2013-06-30 20:52:59,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,16701,Customer,,0
638,2013-06-30 20:36:21,2013-06-30 20:46:59,509,9 Ave & W 22 St,40.7454973,-74.00197139,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,15084,Subscriber,1983.0,2
782,2013-06-30 20:36:30,2013-06-30 20:49:32,309,Murray St & West St,40.7149787,-74.013012,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,18084,Customer,,0
626,2013-06-30 20:36:33,2013-06-30 20:46:59,509,9 Ave & W 22 St,40.7454973,-74.00197139,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,16964,Subscriber,1983.0,1
297,2013-06-30 20:35:16,2013-06-30 20:40:13,446,W 24 St & 7 Ave,40.74487634,-73.99529885,505.0,6 Ave & W 33 St,40.74901271,-73.98848395,15446,Subscriber,1981.0,1
743,2013-06-30 20:36:38,2013-06-30 20:49:01,447,8 Ave & W 52 St,40.76370739,-73.9851615,499.0,Broadway & W 60 St,40.76915505,-73.98191841,15092,Customer,,0
3329,2013-06-30 20:36:41,2013-06-30 21:32:10,2022,E 60 St & York Ave,40.759107,-73.959223,460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,16867,Customer,,0
402,2013-06-30 20:36:47,2013-06-30 20:43:29,152,Warren St & Church St,40.71473993,-74.00910627,330.0,Reade St & Broadway,40.71450451,-74.00562789,15642,Subscriber,1983.0,1
958,2013-06-30 20:36:43,2013-06-30 20:52:41,477,W 41 St & 8 Ave,40.75640548,-73.9900262,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,16654,Subscriber,1985.0,1
1891,2013-06-30 20:36:43,2013-06-30 21:08:14,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,384.0,Fulton St & Washington Ave,40.683048,-73.964915,15851,Subscriber,1979.0,1
